Comment,Sentiment,Food,Service,Value,Ambience,Cleanliness,Amenities,Hospitality,Location,Front-Desk,Room
Very good hotel only the location is a problem here if you work in the city centre.,0,3,3,3,3,3,3,3,2,3,3
"Rooms are nice and a good value for the money you are paying, good location too. Food is not great tough. ...",0,2,3,1,3,3,3,3,1,3,0
One of the best rooms I have stayed in my life......,1,3,3,3,3,3,3,3,3,3,1
"I stayed here for a couple of days, Its a nice property! Well facilitated rooms, good options for breakfast. Prompt room service. Would be happy to visit again.",1,1,1,3,3,3,3,3,3,3,1
Amazing experience with this hotel value for money rooftop swimming pool was awesome experience i had Staff was very polite and good behaviour Overall its was good hotel for relaxation,0,3,3,1,3,3,3,1,3,3,3
Very no ce well done good services,0,3,1,3,3,3,3,3,3,3,3
The vegetarian food in restaurent is good. The Room Service / House Keeping service is a relatively slow. The overall staff of the Hotel is well behaved and good.,0,1,0,3,3,3,3,1,3,3,3
"very spacious rooms with good interiors and great hospitality.. love the personalized deco, which they did for our room.. hats off to the team.. gud food n will surely recommend this hotel.. Thanks for everything...We had a great time",1,3,3,3,1,3,3,1,3,3,1
"Food need to be improved a lot. You don't find the inroom dining menu equivalent to the 4 star hotel. Buffet Break fast is good. If you come from outside bangalore, you need to know the hotel's location address. Because no cabs or taxis knows the exact location of the hotel even if you mentioned the hotel name to drivers. Better to ask for the city view rooms. Otherwise you will feel that you are in a closed room. Staff is very quick and service is very good. Cleanliness is also good. Buffet breakfast is nice. Overall a very gud hotel except the food and prices of the available menu is also high, but you will not get the worth of it.",0,2,1,0,3,0,3,3,3,3,3
Worth the money ! Amazing experience ! Centrally located !,0,3,3,1,3,3,3,3,1,3,3
"Hello, I stayed at this property for 3 days and had an great time. Truly a 4 star hotel! They have beautifuly designed spacious rooms/suites with all the modren facilites and everything in mint condition. King size bed, sofas, office table, dressing table, cubords, 2 flat screen TV's, full size fridge, clean bathroom, etc... The lobbys are bright and beautiful. They have 2-3 resturants which are truly comforting. We just loved the food at this hotel, amazing breakfast buffet and the in room dining was great too. Do not forget to taste the south indian food, i feel they have the best south indian chef. The swiming pool is on the top floor (8th) and found it to be decent with great view of banglore. They have a conference hall right next to the pool so privicy is something which the guests might have to put up with if in case there is a conference going on by non hotel staying guests. When i say conference - large number of people in formals talking serious business and we in swiming suites happily swiming. Quite a contrast... We enjoyed though ;) They have a spa on the 7th floor and i found the interiors and the message room to be ok, but the service and the pricing was good. The location of the hotel is on a real busy highway and near to the famous traffic jam hotspot 'silk board junction'. So getting to this place and going out on a rush hour traffic is quite tricky. The hotel is in a small mall and it starts from 4th floor. You have Mc Donalds, KFC and other eatries on the ground floor along with few other shopping options up until 3 floors and then the hotel starts. The entry and exit to the hotel is quite narrow and the parking in the basement is general parking for all since its in the mall premises. And now the staff!! They were amazing.. Quick check in, speedy room service, energetic and always greeting you with a smile and ready to help/serve you for all your needs. They can easily match the customer service quality you get in western countries. Overall the busy location should not take away even half star as in every other aspect its totaly worth every penny. I am looking forward to stay at DSPS again. Thank you.",1,1,3,1,1,3,0,3,3,3,1
NICE STAY,0,3,3,3,3,3,3,3,3,3,3
"Superb property Professional behaviors, hygiene, helpful staff good food... One should go for",0,1,3,3,3,3,3,1,3,3,3
it is awesome place to stay with great facilities.Staff is really friendly and cooperative.,1,3,3,3,3,3,1,1,3,3,3
"lovely ambience, good food, highly recommended. The rooms are huge beautiful and worth ur money. it was a surprise stay for my wife ND she was thrilled.... Davanam..keep up ur standards... vl b bac",1,1,3,1,1,3,3,3,3,3,3
Great suite experience at a very affordable price. Conveniently located and service is good too.,1,3,1,1,3,3,3,3,1,3,3
In my floor lot of traffic noise was coming ..hence have to increase the AC temp,2,3,3,3,3,3,3,3,2,3,3
Great hotel at a very reasonable price just from goibibo.,1,3,3,1,3,3,3,3,3,3,3
"Very nice hotels & location is also very good. Through goibibo booking, hotel is very cheaper.",1,3,3,1,3,3,3,3,1,3,3
The hotel is really great. The check in is slow and the view of the rooms not that great. But the rooms are brilliant.,1,3,3,3,3,3,2,3,2,2,1
Hotel is too good .. Everything is world class except location ... Situated at too crowdy one way road .. No one from online taxi want to come and pic .....,1,3,3,3,3,3,3,3,2,3,3
Good Hotel with spacious rooms. Good service. Located at a Prime Market place with a mall adjacent to it.,1,3,1,3,3,3,3,3,1,3,1
"GR8 hotel , 1. just as u enter ur romm ..u can't ignore is that they r .... huge.. good enough for 3 ppl. 2.It's right next to a small mall ( gr8 for quick shopping , bite - Mc D, KFC, More store has",1,3,3,3,3,3,3,3,3,3,1
The rooms are really spacious and very comfortable.. Perfect place to relax from the hustle and bustle of the Bangalore city. The other big advantage is the close proximity to shopping mall and other good restaurants.,1,3,3,3,3,3,3,3,1,3,1
"Room service is too slow, otherwise its good stay. The Suits are really good.",1,3,2,3,3,3,3,3,3,3,1
Location from Airport is very far. Hotel and other amenities are very good. I enjoyed my 3 days stay. It was my second time visit to the hotel. If you are going to Airport start 4 hrs before.,1,3,3,3,3,3,1,3,2,3,3
THANKS TO GOIBIBO FOR BEST PRICE. I HAD AN EMERGENCY AS SOME STITCH HAD OPENED BUT THE WONDERFUL STAFF HELPED ME OUT OF THE WAY.. IT WAS AMAZING EXPERIENCE.,1,3,3,3,3,3,3,1,3,3,3
Good rooms and complimentary breakfast buffet. Good staffs nice location worth staying if you are getting it for a good deal,1,1,3,3,3,3,3,1,1,3,1
It is very good and comforatable to all types of people.,1,3,3,3,3,3,3,3,3,3,3
Very nice rooms at affordable rate through ibibo. Well done,1,3,3,3,3,3,3,3,3,3,3
I would love to stay again because of best comfort level,1,3,3,3,3,3,3,3,3,3,3
Good,1,3,3,3,3,3,3,3,3,3,3
It was a good experience overall will surely recommend this hotel for stay,1,3,3,3,3,3,3,3,3,3,3
"Had an amazing stay. The staff was very hospitable, and the room is totaly worth it. I sincerly recommend it.",1,3,3,3,3,3,3,1,3,3,1
No words for sarover portico best hotel just a lilbit things please add move vegetrian food items in menu as food is very delicious in breakfast and dinner when we orders just add more veg food,1,1,3,3,3,3,3,3,3,3,3
Very nice suites and nice servicing. Definetly recommended to all. Best stay at bangalore. However early check in strictly at 10 am.. Anytime early they charge you half the rent. Even though i called up for early checkin at 8 am they dint allow me aftr i reached the hotel.,1,3,1,3,3,3,3,3,3,2,1
So peaceful place to stay. Services are better and staff is really decent,1,3,1,3,3,3,3,1,3,3,3
Best Class Hotel.i have nice stay at Sarovar hotel.,1,3,3,3,3,3,3,3,3,3,3
"Best in the city in the price tag , awesome food esp chicken nuggets",1,1,3,1,3,3,3,3,3,3,3
Loved the morning breakfast spread. Best offers on Ibibo,1,1,3,3,3,3,3,3,3,3,3
This is a delux category room with bed room with hall and attached kittchenet,0,3,3,3,3,3,3,3,3,3,3
"I had been here for the first time in Aug 2015. The room that was provided was the best of all the rooms of all the Hotels I have stayed in till date. I had shared the best possible feedback then. This time it has not been the case. The room is bigger than the one I had stayed in on my previous visit. Very dull room, furniture seems very old, not everything is clean, towels seem to have been used a million times over. I am pretty disappointed, given the amount I have spent!",2,3,3,2,3,2,3,3,3,3,2
"Rooms are very Spacious, breakfast variety and quality upto the mark, terrace swimming pool â¤ï¸ everthing in hotel is just awesum. Go for it",1,1,3,3,3,3,1,3,3,3,1
Excellent hospitality Excellent food Totally amazing experience Would like to visit again and recommend,1,1,3,3,3,3,3,1,3,3,3
"Devanam Sarover Portico is nice with very soothing interior , spacious lobbies & reception . A beautiful place to relax makes us feel at home . The room was classy with all the facilities to fulfil our requirements . The food served especially complimentary breakfast was excellent , management & other services like house keeping ,laundary etc were very pleasing. On the whole we had a nice stay would like to visit again.",1,1,3,3,1,3,1,3,3,3,1
superb place...i liked it too much... highly recommended,1,3,3,3,3,3,3,3,3,3,3
"Good place to stay, nice rooms, brilliant breakfast spread, nice swimming pool on top. Enjoyed my 3rd time stay here, keep coming back to this hotel cause i'm in love with it! :)",1,1,3,3,3,3,1,3,3,3,1
Very good..... good to stay in acsuite room.. Clean and hygeinic,1,3,3,3,3,1,3,3,3,3,1
It is Good Hotel for Stay and Rooms were good.,1,3,3,3,3,3,3,3,3,3,1
neat and spacious..good amenities ...service is apt,1,3,1,3,3,1,1,3,3,3,1
"Great hospitality, helpful staff, comfortable stay, Excellent breakfast :)",1,1,3,3,3,3,3,1,3,3,1
Very good service and nice ambience. you can have a great time here,1,3,1,3,1,3,3,3,3,3,3
"Nice clean property. Excellent for business travelers and even those on a holiday. Courteous staff, great breakfast spread. Highly recommended.",1,1,3,3,3,1,3,1,3,3,3
can increase dish varieties.. and reduce the cost too...,1,0,3,3,3,3,3,3,3,3,3
superb.....very supportive staff..........excellent breakfast..nice bar....,1,1,3,3,3,3,3,1,3,3,3
Very nice to stay and swimming is very good experience,1,3,3,3,3,3,1,3,3,3,3
Excellent hotel.Saying hotel is less.Rooms are suite and staff are very cooperative.It was my anniversary and my kids enjoyed a lot.Two TVs in a room was amazing for them and they were amused.They did enjoy in the swinming pool on the terrace.Overall a very professionally maintained hotel.Thanks to ibibo and sarovar group of hotels.,1,3,3,3,3,3,1,1,3,3,1
nice hotel,1,3,3,3,3,3,3,3,3,3,3
"It's a very good place to stay ... Comfortable , lovely environment n nice service",1,3,1,3,3,3,3,3,3,3,3
Very good to stay economical and worth of money staff is very good and supportive,1,3,3,1,3,3,3,1,3,3,3
Nice,1,3,3,3,3,3,3,3,3,3,3
Well furnished superb Arctic designs superb planning,1,3,3,3,3,3,3,3,3,3,1
"excellent hotel with all amenities and had a cool check in, I will recommend this hotel for all...",1,3,3,3,3,3,1,3,3,1,3
"The stay was absolutely amazing and comfortable . Their breakfast is a good spread so take time out to enjoy the same . The hotel is located at madiwala , there is a little problem to get to the enterance but alternatively you can use the enterance of total mall and go to hotel .swimming pool can be improved .",1,1,3,3,3,3,0,3,0,3,3
Spacious room with good living area.. Nice variety breakfast..,1,1,3,3,3,3,3,3,3,3,1
Great room. Great food. Enjoyed the stay. Service was good.,1,1,1,3,3,3,3,3,3,3,1
"it is great experience, I really enjoyed everything food excellent behavior good",1,1,3,3,3,3,3,1,3,3,3
Loved it! Spacious rooms and pretty close to NIFT college,1,3,3,3,3,3,3,3,3,3,1
The stay in this hotel was very comfortable. There is no issue regarding the services of this hotel. They managed to provide a good accommodation. Ovreall it was a good experience with this hotel.,1,3,1,3,3,3,3,3,3,3,1
"The Food at Tangerine tastes great. Weather its Break fast, Lunch or Dinner, all were prepared equally good.",1,1,3,3,3,3,3,3,3,3,3
Nice.,1,3,3,3,3,3,3,3,3,3,3
The best part of this hotel was the rooms which are very spacious feels like you are staying in a service apartment Morning breakfast was good Cleanliness was awesome,1,1,3,3,3,1,3,3,3,3,1
Value for money food drinks excellent service quality is also excellent,1,1,1,1,3,3,3,3,3,3,3
"The Hotel located in prime location, we had nice time during our stay with family. Buffet break fast was good. Spacious and clean room.",1,1,3,3,3,1,3,3,1,3,1
"Excellent stay, courteous staff. delicious complementary breakfast and value for money. I will definitely select the same again during next Bangalore visits.",1,1,3,1,3,3,3,1,3,3,3
Nyc rooms...but not exact as displayed ...there is a lot of difference,0,3,3,3,3,3,3,3,3,3,0
Great hotel but location is horrible... in fact quite sad,1,3,3,3,3,3,3,3,2,3,3
Good place to stay service is good and location have access to all prime destinations,1,3,1,3,3,3,3,3,1,3,3
Nice hotel.,1,3,3,3,3,3,3,3,3,3,3
Nice Hotel !! Had a pleasant stay The location is pretty good. The hotel is on top of a mall and major food outlets are near by.,1,3,3,3,3,3,3,3,1,3,3
Jacuzzi is not working swimming pool is nice value for money,1,3,3,1,3,3,0,3,3,3,3
It's a very nice hotel.,1,3,3,3,3,3,3,3,3,3,3
"Best Hotel and its room at the price range , Food Quality is grate ,",1,1,3,1,3,3,3,3,3,3,3
The Hotel is very well located. Good Courteous and Friendly Staff. and is a Value for Money property.,1,3,3,1,3,3,3,1,1,3,3
great stay,1,3,3,3,3,3,3,3,3,3,3
The stay was really pleasant. Also the Breakfast buffet had a lot of options but needs improvement in terms of taste.,1,2,3,3,3,3,3,3,3,3,3
super hotel ... staff was really good nd humble.. hotel was very very neat.. food was good.. service was perfect..,1,1,1,3,3,3,3,1,3,3,3
I was awestruck with the cleanliness of the hotel and room. Service quality of the staffs were very good and they were courteous as well. Very easy to identify the location as it is situated at the heart of the city. Overall we had a wonderful stay here. Worth the price.,1,3,1,1,3,1,3,1,1,3,3
"nice hotel, nice restaurant, nice swimming pool ðŸŠ, we're very much enjoyed....",1,1,3,3,3,3,1,3,3,3,3
The stay was very good. Service also excellent. Good food also,1,1,1,3,3,3,3,3,3,3,3
"Stayed there for 2 days. Pleasant stay with large, comfortable rooms and good food.",1,1,3,3,3,3,3,3,3,3,1
Very spacious. My best experience with a hotel so far. Clean and well maintained suites. Best value for money when you book from ibibo,1,3,3,1,3,3,3,3,3,3,1
Great Business Hotel with large rooms and good service! Value for Money!,1,3,1,1,3,3,3,3,3,3,1
"At a prime location, this is walking distance to few places around hosting a mall in the same building. The carpet is not properly done in the walking areas. I was scared that I might trip off. In the room, it doesnt feel that I am staying in a well maintained hotel paying expensive tariff. The Bathroom is not well done (construction wise as well as setting up bath towels, shampoo etc.. was the worst I saw). In one of the initial rooms I was allotted, the toilet was not working properly, I complained about this the next day and it took them around 12hrs to move me to a better one. The water pressure was pathetic. If a neighbor starts taking shower, the water pressure drops to such a level, you will get a very thin flow of water and if you are accustomed to use the handheld toilet cleaner, you are doomed :) The bath tub was too high to climb into and the shower curtain doesnt cover the entire area. Now you can figure out, why there is water in the non tub area even though you didnt spill any water. On positive side, the staff is very courteous, the restaurant is very good and they serve good food. House keeping was prompt and when you ask for something in the room, they will be at your door in no time.",2,3,1,3,2,3,3,1,1,3,2
One of the best value for money hotels in Bangalore.,1,3,3,1,3,3,3,3,3,3,3
it was a splendid experience in davanam sarovar.. the staff wer very gud.. n d pool on top of the building was amasing,1,3,3,3,3,3,1,1,3,3,3
"spacious rooms, food facilities. well maintained, responsive staff. good Good.",1,3,3,1,3,3,1,1,3,3,1
Value for money cleanliness is poor service is poor food is good,0,1,2,1,2,3,3,3,3,3,3
i liked this property very much.... the rooms are too good....and staff is also very good... I enjoyed my stay..... 5 star for this awesome property.......,1,3,3,3,3,3,3,1,3,3,1
"I had very good experience. they have good food, spacious rooms and at reasonable price. I am recommending this hotel to my colleagues. However, this seems to be a new hotel as local transport guys they are not aware of this hotel inspite of this been located at main junction.",1,1,3,1,3,3,3,3,3,3,1
"The hotel stay will be surely something to remember for a long time, the rooms are big and it feels like staying in a studio apartment !",1,3,3,3,3,3,3,3,3,3,1
"I stayed in this property for a short business trip to bangalore. I chose this hotel, based on the positive reviews and its proximity to electronic city and whitefield. Location - Good location, on",1,3,3,3,3,3,3,3,1,3,3
"ITS A VERY GOOD HOTEL , WELL LOCATED ..BREAKFAST SERVED IS REALLY GOOD AND HAS ENOUGH OPTIONS FOR BOTH VEGETERAIN AS WELL AS NON- VEGETERAIN .. ROOM'S ARE CLEAN AND HOUSE KEEPING IN GENERAL IS GOOD .. THE ONLY THING IS THEY NEED TO MANAGE PEOPLE FOR CONFERENCE HALL , SINCE THEY OCCUPY THE ENTIRE RECEPTION . REEMA SHETH",1,1,1,3,3,1,3,3,1,3,3
superb Hotel outstanding Room very happy to see the rooms and all the location of the hotel and also good service.,1,3,1,3,3,3,3,3,1,3,1
"Spacious suites, amazing value for money. Biggest downside is the location, which is in a very chaotic location of Bangalore.",1,3,3,1,3,3,3,3,2,3,1
The rooms are very spacious and good. Only the location is where I would rate it low.,1,3,3,3,3,3,3,3,2,3,1
best hotel and best facility we are very happy to stay here with huge facilities the hotel people are providing. I request everyone to stay in Davanam Sarovar if you visit Bangalore,1,3,3,3,3,3,1,3,3,3,3
Awesome room value for money......best in the price....,1,3,3,1,3,3,3,3,3,3,1
Excellent in all aspects. Had a very comfortable stay.,1,3,3,3,3,3,3,3,3,3,3
People are very friendly and manliness guys.,1,3,3,3,3,3,3,1,3,3,3
"Great hotel with superb service, value for money is 100% and it was a wonderful stay",1,3,1,1,3,3,3,3,3,3,3
"Overall the stay was very good. The checkin and checkout process was smooth enough. Hotel staff quite good and supportive, the services were very good. All in all it was a nice stay.",1,3,1,3,3,3,1,1,3,1,3
Great rooms,1,3,3,3,3,3,3,3,3,3,1
"Location was good, easily accessible to city. The complimentary breakfast Buffet was also amazing. But service was not up to the expectation!! Receptionists were not so welcoming!! They gave me a roo",0,1,2,3,3,3,3,3,1,3,2
A good hotel located in a good area..and they maintained the property nicely...plus the services were quite on time and accurate..all the basic facilities were nice and i had a good time there.,1,3,1,3,3,3,1,1,3,3,3
Stayed with family and had nice time. Only the entry to the hotel from Madival Market side is difficult due to heavy traffic.,1,3,3,3,3,3,3,3,1,3,3
excellent hotel to stay,1,3,3,3,3,3,3,3,3,3,3
Had an EXCELLENT STAY @ Davanam Sarovar Hotel. Stayed there for 3 nights. From Check-In to Check-Out the staff were amazing. My new address in Bangalore..!!!,1,3,3,3,3,3,1,3,3,1,3
I stayed there and my stay was completely fine no issue regarding anything. Service was perfect and food was nice. Hotel is nicely located. Nice amenities and very clean hotel. Recommended to all.,1,1,1,3,3,1,1,3,1,3,3
"Nice stay,i always prefer this hotel and i will recommend to everyone",1,3,3,3,3,3,3,3,3,3,3
Checked-in at 5 am on 27th Jan & checked out at 6 am on 29th Jan- had to pay 3 nights charge. Would have understood if the hotel was full to capacity or if I had not pre-booked it. Would have also been ok to pay half a night's charge for the early check-in(which is what happens in other hotels). Have been a regular guest for my business trips to the hotel- expected better customer service and common sense from the front desk. Awesome rooms but don't think I will be coming back.,2,3,3,3,3,3,3,3,3,2,3
My favourite in Koramangala. 10/10 on value for money.,1,3,3,1,3,3,3,3,3,3,3
Good hotel & services. Reaching is an issue with the road rework on,1,3,1,3,3,3,3,3,1,3,3
I stayed over there and my stay was outstanding. Hotel is completely value for money. Every thing was smooth there. facilities are satisfactory. Service was wonderful over there. Hotel is nicely located and easily accessible. Its a very neat and clean property.,1,3,1,1,3,1,1,3,1,3,3
It was a superb stay .. Awesome breakfast .. Good service.. It's a value for money,1,1,1,1,3,3,3,3,3,3,3
"From outside it doesn't look like a star Hotel just average hotel.But Inside the room is really good and i will like the interior much. Food ,drinks and cab facility from hotel are very very expensive .",0,3,3,3,3,3,2,3,3,3,1
"Although the location and infrastructure were good, the rooms had wear and tear everywhere and was not looking like new.",0,3,3,3,3,3,3,3,1,3,2
very nice property.. beautiful rooms.. nice hospitality. . good ambiene restaurant. .,1,3,3,3,1,3,3,1,3,3,1
Very good breakfast with respect and friendly behavior from Hotel staff.. Amenities also simply good. Really a great experience.,1,1,3,3,3,3,1,1,3,3,3
superb service provided by the staff...will make sure everytym i cm to bnglore il stay at the hotel...,1,3,3,3,3,3,3,1,3,3,3
i stayed at Bangalore location ..people u will love the ambience over here.. rooms are excellent... its a sure value for money ... stay here to believe it .. you will b never disappointed .. will sure,1,3,3,1,1,3,3,3,3,3,1
Lovely rooms super clean. Well maintained New constitution Only location is poor,1,3,3,3,3,1,3,3,2,3,1
"i prefer this hotel when ever i visit bangalore here after, its a great stay. rooms, ambience, clenines and service, everything is so perfect then expected. if talk about complimentary breakfast, so",1,0,1,3,1,1,3,3,3,3,1
The hotel provided me with complimentary breakfast. The rooms were very presentable and good to use. Amenities were provided to me to my expectations and in terms of view the room is good as well. The breakfast also tasted really well with quality .Overall a great stay in the hotel.,1,1,3,3,3,3,1,3,3,3,1
the stay was pleasant and good.the hotel has kept my expectations upto the mark,1,3,3,3,3,3,3,3,3,3,3
Trust me! These people are giving best in everything... Would strongly recommend this to everyone!!! Wish to stay at this wonderful place for every visit!,1,3,3,3,3,3,3,3,3,3,3
we have stayed 2 days.. wonderful hotel to stay. beautiful rooms with all facilities. food was awesome... all staffs are very friendly... Really i would recommend this hotel for everyone.,1,1,3,3,3,3,1,3,3,3,1
it's a excellent hotel for business or tourist Regan,1,3,3,3,3,3,3,3,3,3,3
Regular visitor to the hotel. Excellent rooms and breakfast. Only drawback is location but for me its close to my office in BLR. Just love this place for the rooms and the staff hospitality.,1,1,3,3,3,3,3,1,1,3,1
Rooms are nice but the hospitality is not.You do not get the satisfaction even with such a nice room.,1,3,3,3,3,3,3,2,3,3,1
"I booked this hotel for my friends travelling to Blore and I must say, they were in awe with the service. The rooms were beautiful and classy and the service, be it the bell boy or reception staff, wa",1,3,1,3,3,3,3,1,3,3,1
Good and neat place.. Gud n scrumptous breakfast spread.. Very courteous staff.,1,1,3,3,3,1,3,1,3,3,3
Experience was very good. No hassles at all i faced with this hotel. Everything was fine enough. The staff and the services all were great. Overall a comfortable stay.,1,3,1,3,3,3,3,1,3,3,3
"Great Hotel, Nice big rooms. Excellent service and good breakfast spread. Check-in/checkout was very smooth.",1,1,1,3,3,3,1,3,3,1,1
"Truly a place worth staying. Location and area around may be a concern for some, however overall a nice place to stay. Worth recommending to all.",1,3,3,3,3,3,3,3,0,3,3
"It was perfect stay over there. Service, food and all are nice there. Location is nice over there. Nice amenities and cleanliness are there.",1,1,1,3,3,1,1,3,1,3,3
"A Good Experience. Food, Room and Service are good.",1,1,1,3,3,3,3,3,3,3,1
Had pleasant stay. Good food and Value for money. Good ambiance. Good service.,1,1,1,1,1,3,3,3,3,3,3
:) Great place to spend time with loved one. Suites are well maintained and cleaned daily. So clean. Complimentary breakfast is simply too good. Thank you team sarovar and goibibo. Would love to visit again.,1,1,3,3,3,1,3,3,3,3,1
Good friendly staff..luxury rooms.... food is also good... also good for roof top private pool party,1,1,3,3,3,3,1,1,3,3,1
"it's MST,,...superb,,,amenities, service quality, everything was good,...nice to stay in davanam sarovar portico suites.. seriously m suggesting u people go and select this hotel..it s completely value for money....tnk u",1,3,1,1,3,3,1,3,3,3,3
was very much pleased by the service i got there.....the ambience at the hotel was also very soothing........loved my stay at the hotel.....vl visit again,1,3,1,3,1,3,3,3,3,3,3
"First thanks to goibibo for listing this awsome hotel.Checkin and check out was timely,room service & house keeping was prompt and morning breakfast and restaurant staff was awsome. overall would visit the property next time for sure. Highly recommend for both business and leisure travellers.",1,1,1,3,3,3,1,1,3,1,3
"Very spacious and we'll maintained rooms... The air conditioning was a bit hard to control and the food was average... Nevertheless, its a lovely place to stay especially if u manage to book a reasonably priced room.",0,0,3,3,3,3,0,3,3,3,1
"It was a pleasant and great stay on my last visit with sarovarportico, the best part is the lavish suite rooms, and the service staffs. Feels a bit disappointed when you are guided upstairs for reception but just as you step out of the elevator a world of pompous luxury awaits you, surly value for money.",1,3,3,3,3,3,3,1,3,0,1
it is awesome place to stay in awesome city breakfast is awesome,1,1,3,3,3,3,3,3,3,3,3
"Rooms are great..looking at entrance one can't even imagine that this hotel will have such big rooms. The best part is all are suite rooms only. Location of hotel is also ok about 5-6 kms from city centre. In a nutshell Food is good Rooms are very spacious and have luxury feel Service is good Location is ok Amenities are good Thanks, Ankit",1,1,1,3,3,3,1,3,0,3,1
Excellent property and extremely helpful staff. Everything from check-in till check-out was perfect. The breakfast had lots of variety.,1,1,3,3,3,3,1,1,3,1,3
"It was good experience. Spacious, Clean rooms blend with modern amenities.. Food is also very good. Breakfast spread is good too. The staff is very courteous. This stay was perfectly good ! Very comfo",1,1,3,3,3,1,1,1,3,3,1
"Good rooms, studio rooms are sufficient for a couple. Service is mediocre and food at the in-house restaurants is really bad. The Gallop bar which we expected to be great, disappointed us beyond words and experience.",0,2,0,3,3,3,3,3,3,3,1
It was a great experience ..they had served me a delicious breakfast in complimentary and WiFi was also there in free of cost...not an issue during the stay.,1,1,3,3,3,3,1,3,3,3,3
It was one of the best experience i had after been to many hotels.,1,3,3,3,3,3,3,3,3,3,3
"One of the nicest hotels in the area, located adjacent to total mall Madiwala. Hotel has huge suites designed efficiently. Has all the facilities one needs with awesome service quality.",1,3,3,3,3,3,1,3,0,3,1
"Hotel is very good and stay was also fantastic. Service was there, hotel people are very co operative. I do not had my food here so no comment on that. Location was absolute and easy to find. Amenities and all are very good. Hotel is clean.",1,3,1,3,3,1,1,1,1,3,3
warm welcome from caring staff. room cleanliness and ambience is just perfect. breakfast was the best part of my stay..,1,1,3,3,1,1,3,1,3,3,1
awsum hotel.stayed there with a loved one and it was great.would love to stay again,1,3,3,3,3,3,3,3,3,3,3
I really had a nice experience in this hotel.. EXCELLENT breakfast.. EXCELLENT services.. the staff of the hotel was really cooperative.. overall.. i had a nice time..,1,1,1,3,3,3,3,1,3,3,3
Hotel was good. Its an value for money property. I booked because its very near to my destination .proper location was not mention on the website so I have to used Google map and also called to the hotel people for confirmation of the address. Amenities and all are nice. Regarding cleanliness its a neat and clean hotel.,1,3,3,1,3,1,1,3,0,3,3
"Stay was excellent, hotel was very good. Its a totally value for money. Service was really nice. I had my food there and the food was good. Location was perfect, very easy to find. Hotel rooms are big and very comfortable. Very neat and clean hotel.",1,1,1,1,3,1,3,3,1,3,1
"I stayed at Davanam Sarovar Portico Suites in March, 2015. It was an amazing stay there. from the check in to check out i didn't face any problem. All was perfect, I had a very nice and comfortable accommodation at this place. Hotel staff was very courteous and cooperative. I took my food also, that was amazing in taste. Hotel was very convenient and easily accessible, It was near to the mall also. This is a nice place for all.",1,1,3,3,3,3,3,1,1,1,1
Rooms are well furnished and adjusting to the latest life style with all other services and facilities. Food options are minimal - just one negative I could say about.,1,2,1,3,3,3,1,3,3,3,1
Comfortable place very helpful staff would recommend this place,1,3,3,3,3,3,3,1,3,3,3
Excellent hotel in all facilities. Location is really very convenient. Really an improbable hotel stay.the only issue is that they have limited elevators...apart from that its a complete blend of fabulous amenities.,1,3,3,3,3,3,0,3,1,3,3
"This is by far the best hotel in this one can find in the Koramangala Area. The hotel has a small shopping mall adjunct to it, which comes very handy in case you need anything during your stay. Hotel staff, right from the Room Cleaning Service to the reception and also the staff from restaurant are very cooperative and well mannered. I had chosen a wrong check-in date while booking online but when requested, the staff readily changed my check-in date with no drama at all. Rooms are very well kept. The room service is also good. All the amenities as shown in the description are provided in the hotel. Overall a very pleasant and relaxing stay here. Looking forward to come back soon!",1,3,1,3,3,3,1,1,1,1,1
"It was a great stay. Rooms are awesome, spacious. Highly recommended.",1,3,3,3,3,3,3,3,3,3,1
Executive suits are awesome.. Book only when you have offers :),1,3,3,3,3,3,3,3,3,3,1
We had the best time...food was very delicious...staff were very well mannered and i was really impressed ...two thumbs up...all the best...i would definitely recommend my friends n family,1,1,3,3,3,3,3,1,3,3,3
"Hotel is Good and rooms are also big and really comfortable ,Staff are really supportive , only issue i have face with them as a 4 to 5 Star hotel we except they to keep Sufficent amount of Soap, Towel and other necessary thin in the room ,",1,3,3,3,3,3,2,1,3,3,1
"excellent suite, luxurious and comfy. breakfast was good too. staff very pleasant and helpful",1,1,3,3,3,3,3,1,3,3,1
Suits are spacious. The bed is good. Not too soft not too hard. Food was superb.,1,1,3,3,3,3,3,3,3,3,1
Very good hotel and superb location. It was very close to several IT offices. I was given a suite which was very good and comfortable. Really clean rooms and very good AC. Overall a very good value for money. The food is also good although a little expensive. Breakfast Buffet had a reasonable variety. Total value for money and very comfortable. I would recommend for any business traveller.,1,0,3,1,3,1,1,3,1,3,1
"I stayed six nights at the hotel as part of a business trip, And this is the second time I was staying at the hotel.

The rooms are very spacious and well equipped, The restaurant offers an excellent breakfast as well as dinner rich and varied.

But above all significant advantage of the hotel is the excellent service you receive.
All the hotel and restaurant employees were courteous, attentive and always happy to help.

Another advantage is the small mall next to the hotel. It allows you to make small purchases until late.",1,1,1,3,3,3,3,1,1,3,1
"We stayed for 3 days.Excellent facilities,excellent service. Breakfast is diverse and very good. Restaurant is cozy.Big advantage is the Megastore right next to Hotel entrance
Will definitely stay in this hotel during my next visit to Bangalore
Staff very helpful and always smiling
Jan 18-Jan 21",1,1,1,3,3,3,1,3,1,3,3
